id_peli,titulo,genero,duracion
27,Powerpuff Girls,Action,199
18,Headhunters,Action,183
28,Brotherhood of Death,Action,168
44,Gabriel,Action,128
15,Antarctica,Adventure,224
1,Adventures of Rocky,Adventure,199
40,Invincible Iron Man,Animation,140
14,Open Season,Animation,100
7,Mannequin,Comedy,216
48,True Confession,Comedy,210
47,Boy Meets Girls,Comedy,207
5,Lovely Amazing,Comedy,199
29,Music Within,Comedy,183
43,Strike Up the Band,Comedy,174
26,Waiting,Comedy,169
24,Killing Bonos,Comedy,157
4,Monster in a Box,Comedy,155
22,Lobo,Comedy,153
46,The Man Who Shook,Comedy,147
17,Wild Tales,Comedy,146
23,Only Old Men,Comedy,140
41,Professor Beware,Comedy,126
9,Fools Parade,Comedy,102
31,One Shot,Documentary,237
8,Rouva presidentti,Documentary,114
42,Beans of Egypt,Drama,240
34,Little Girl,Drama,215
50,Short Film About Love,Drama,213
30,Bedford Incident,Drama,211
36,Camp,Drama,210
20,Doors,Drama,210
3,Criminal,Drama,207
19,Moby Dick,Drama,200
2,My Brother the Devil,Drama,191
37,Finding Forrester,Drama,175
13,Werckmeister Harmonies,Drama,162
11,Longtime Companion,Drama,160
16,Love in the Afternoon,Drama,129
38,The End of the Tour,Drama,126
33,Twilight of a Woman,Drama,126
35,G Men,Drama,117
10,Hitcherr,Horror,238
32,Troll,Horror,233
21,Dont Look in the Basement,Horror,131
45,Killjoy 3,Horror,110
25,My Friend Irma Goes,Musical,125
12,San Francisco,Musical,125
6,Sleeping Dictionary,Romance,116
39,Night Court,Thriller,177
49,Violent Men,Western,185
